,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.1796269416809082,0.00812301065643462,0.03959989547729492,0.012513469786424937,1,3,"{'max_depth': 1, 'n_estimators': 3}",0.8728893763740325,0.8751695568346225,0.8716293302251161,0.8771788956643054,0.8742194433823796,0.8742173204960914,0.0019046687513591695,10
1,0.17137250900268555,0.013570019532653105,0.04161128997802734,0.008689790435906288,2,3,"{'max_depth': 2, 'n_estimators': 3}",0.8926271377713785,0.8916105867053181,0.9011114008535471,0.8769858116973672,0.895952282549485,0.8916574439154192,0.008050120923251348,9
2,0.23974785804748536,0.017023136681528293,0.029097604751586913,0.007367121738744455,3,3,"{'max_depth': 3, 'n_estimators': 3}",0.9142345766993889,0.9166909335187071,0.9238462170357111,0.9183267862537194,0.9047959854299177,0.915578899787489,0.006248431485442199,8
3,0.2391646385192871,0.018911953927032835,0.036118936538696286,0.005279773243392102,4,3,"{'max_depth': 4, 'n_estimators': 3}",0.9218676499233858,0.9284872200594226,0.9171617724673828,0.9331701711987943,0.9331744737507826,0.9267722574799537,0.0063447516459191,7
4,0.23326940536499025,0.03152149497342222,0.03910741806030273,0.011772924486463481,5,3,"{'max_depth': 5, 'n_estimators': 3}",0.9289557903255063,0.94294851977591,0.9381520312298889,0.9376026816465547,0.9306850641732969,0.9356688174302313,0.0051536933796733,6
5,0.2495265483856201,0.03379207809391434,0.049514150619506835,0.01229899133636667,6,3,"{'max_depth': 6, 'n_estimators': 3}",0.9403703123994573,0.9400801867567811,0.9433060008501589,0.9420908215063957,0.9421140679151588,0.9415922778855903,0.001203102340386425,5
6,0.27749810218811033,0.041098638953324364,0.038839530944824216,0.007589274264677319,7,3,"{'max_depth': 7, 'n_estimators': 3}",0.9460965639327099,0.9478420606637118,0.9475969474227239,0.9439742856737875,0.9460230816512176,0.9463065878688302,0.001384689412129363,4
7,0.30343241691589357,0.053684838088826015,0.0660512924194336,0.012664905411169373,8,3,"{'max_depth': 8, 'n_estimators': 3}",0.9501936070133585,0.9416040477024801,0.946798372210062,0.9494388251729159,0.951567529375308,0.947920476294825,0.0035193718328768633,3
8,0.3131449222564697,0.04717052557558789,0.06511926651000977,0.030181039498603637,9,3,"{'max_depth': 9, 'n_estimators': 3}",0.952461491646319,0.950010796005702,0.9528700568301112,0.9538115680626715,0.9550472689066266,0.9528402362902859,0.0016712000164907025,2
9,0.29616432189941405,0.03437513484962197,0.04937090873718262,0.02057090337078157,10,3,"{'max_depth': 10, 'n_estimators': 3}",0.952368637143681,0.9525457727275077,0.9562848921216089,0.9536016990369108,0.9569559786805142,0.9543513959420447,0.001911853122645847,1
